医薬品名,効能,注意事項,使用方法,保存方法
ｱｰﾁｽﾄ錠2.5mg,このお薬は、慢性心不全治療薬です。僧帽弁閉鎖不全症や心筋症などの治療に使用されます。,本剤投与後、食欲低下・めまい・ふらつき等の異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ｶﾙﾊﾞｿﾞｸﾛﾑｽﾙﾎﾝ酸ﾅﾄﾘｳﾑ錠30mg,このお薬は、止血剤です。様々な原因による出血の治療に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
アジスロマイシン250ｍｇ,このお薬は、マクロライド系の抗生物質です。効果の持続が長いのが特徴です。細菌感染の治療に使用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師から指示された用法用量を必ず守って下さい。指示のない限り、途中で投与を中止しないで下さい。,室温で保存して下さい。
ｱﾀﾗｯｸｽ錠10mg,このお薬は、抗ヒスタミン剤です。アレルギー症状を誘発するヒスタミンなどの発生を抑える作用があります。,本剤投与後、眠くなったり、多飲になる場合があります。その他、異常がみられた場合は獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ｱｾﾁﾙｽﾋﾟﾗﾏｲｼﾝ錠100,このお薬は、原虫駆除剤です。ジアルジア、トリコモナス、大腸バランチジウムを駆除するために使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,密閉した容器にいれて、室温で保存して下さい。
ｱﾀﾗｯｸｽ錠25mg,このお薬は、抗ヒスタミン剤です。アレルギー症状を誘発するヒスタミンなどの発生を抑える作用があります。,本剤投与後、眠くなったり、多飲になる場合があります。その他、異常がみられた場合は獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ｱﾃﾞｺｯｸ錠30mg,このお薬は、抗アレルギー薬です。鼻炎や皮膚炎などの治療に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ｱﾄﾋﾟｶ100mgｶﾌﾟｾﾙ,このお薬は、免疫抑制剤です。犬のアトピー性皮膚炎の症状緩和に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、必ず空腹時に与えて下さい。,直射日光と湿気を避けて保存して下さい。
ｱﾄﾋﾟｶ10mgｶﾌﾟｾﾙ,このお薬は、免疫抑制剤です。犬のアトピー性皮膚炎の症状緩和に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、必ず空腹時に与えて下さい。,直射日光と湿気を避けて、25℃以下で保存して下さい。
ｱﾄﾋﾟｶ25mgｶﾌﾟｾﾙ,このお薬は、免疫抑制剤です。犬のアトピー性皮膚炎の症状緩和に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、必ず空腹時に与えて下さい。,直射日光と湿気を避けて保存して下さい。
ｱﾄﾋﾟｶ50mgｶﾌﾟｾﾙ,このお薬は、免疫抑制剤です。犬のアトピー性皮膚炎の症状緩和に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、必ず空腹時に与えて下さい。,直射日光と湿気を避けて保存して下さい。
アトピカ内用液17mL,このお薬は、猫の慢性アレルギー性皮膚炎の症状を緩和を目的としています。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、必ず空腹時に与えて下さい。,直射日光、高温をさけて保存してください。
ｱﾋﾟﾅｯｸ錠12.5mg,このお薬は、ACE阻害剤です。血管を拡張させることで、心臓の負担を軽減したり、心臓の肥大を抑制する作用があります。,本剤投与後、異常がみられた場合、または状態が改善されない場合はすぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ｱﾋﾟﾅｯｸ錠6mg,このお薬は、ACE阻害剤です。血管を拡張させることで、心臓の負担を軽減したり、心臓の肥大を抑制する作用があります。,本剤投与後、異常がみられた場合、または状態が改善されない場合はすぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
アピナック２５ｍｇ,このお薬は、ＡＣＥ阻害剤です。血管を拡張させることで、心臓の負担を軽減したり、心臓の肥大を抑制する作用があります。,本剤投与後、異常が見られた場合、または状態が改善されない場合は、すぐに獣医師にご相談ください。,獣医師の指示のもと、用法用量を守って正しくご使用ください。,室温で保存してください。
アポキル3.6mg,このお薬はアトピー性皮膚炎およびアレルギー性皮膚炎による痒みを緩和する分子標的薬です,本剤投与後に下痢や嘔吐がみられた場合は投与を中止し、すぐに獣医師にご相談ください。,獣医師の指示のもと、用法用量を守って、与えて下さい。,室温で保存して下さい。
